Ax,Ay,Az,Label
-0.93,-0.06,0.08,FRONT
-0.93,-0.05,0.06,FRONT
-0.96,-0.04,0.06,FRONT
-0.93,-0.06,0.06,FRONT
-0.95,-0.07,0.04,FRONT
-0.95,-0.05,0.06,FRONT
-0.97,-0.06,0.04,FRONT
-0.93,-0.06,0.06,FRONT
-0.95,-0.06,0.06,FRONT
-0.95,-0.05,0.06,FRONT
-0.95,-0.07,0.06,FRONT
-0.96,-0.07,0.05,FRONT
-0.92,-0.05,0.08,FRONT
-0.91,-0.06,0.08,FRONT
-0.9,-0.05,0.07,FRONT
-0.95,-0.05,0.07,FRONT
-0.95,-0.06,0.05,FRONT
-0.94,-0.06,0.05,FRONT
-0.96,-0.04,0.06,FRONT
-0.96,-0.08,0.05,FRONT
-0.93,-0.07,0.05,FRONT
-0.96,-0.05,0.06,FRONT
-0.94,-0.05,0.07,FRONT
-0.95,-0.06,0.07,FRONT
-0.91,-0.07,0.05,FRONT
-0.93,-0.08,0.04,FRONT
-0.95,-0.06,0.06,FRONT
-0.96,-0.05,0.04,FRONT
-0.91,-0.04,0.07,FRONT
-0.97,-0.04,0.05,FRONT
-0.98,-0.03,0.06,FRONT
-0.94,-0.05,0.06,FRONT
-0.95,-0.06,0.04,FRONT
-0.95,-0.06,0.05,FRONT
-0.94,-0.03,0.07,FRONT
-0.93,-0.02,0.07,FRONT
-0.96,-0.03,0.05,FRONT
-0.94,-0.06,0.05,FRONT
-0.92,-0.04,0.07,FRONT
-0.95,-0.06,0.03,FRONT
-0.97,-0.05,0.04,FRONT
-0.93,-0.05,0.04,FRONT
-0.92,0,0.08,FRONT
-0.96,-0.07,0.02,FRONT
-0.95,-0.04,0.04,FRONT
-0.94,-0.03,0.05,FRONT
-0.95,-0.03,0.05,FRONT
-0.94,-0.06,0.05,FRONT
-0.92,-0.05,0.04,FRONT
-0.95,-0.07,0.03,FRONT
-0.94,0,0.07,FRONT
-0.96,-0.05,0.05,FRONT
-0.94,-0.07,0.05,FRONT
-0.97,-0.03,0.06,FRONT
-0.95,-0.06,0.04,FRONT
-0.95,-0.05,0.04,FRONT
-0.95,-0.03,0.06,FRONT
-0.92,-0.06,0.05,FRONT
-0.96,-0.04,0.04,FRONT
-0.96,-0.02,0.08,FRONT
-0.95,-0.03,0.08,FRONT
-0.92,-0.01,0.07,FRONT
-0.88,-0.04,0.08,FRONT
-0.93,-0.04,0.06,FRONT
-0.96,-0.04,0.05,FRONT
-0.94,-0.04,0.06,FRONT
-0.95,-0.05,0.05,FRONT
-0.94,-0.06,0.05,FRONT
-0.93,-0.05,0.06,FRONT
-0.94,-0.03,0.06,FRONT
-0.94,-0.02,0.06,FRONT
-0.97,-0.07,0.05,FRONT
-0.96,-0.05,0.06,FRONT
-0.95,-0.06,0.05,FRONT
-0.96,-0.05,0.06,FRONT
-0.96,-0.07,0.05,FRONT
-0.96,-0.05,0.05,FRONT
-0.93,-0.06,0.04,FRONT
-0.95,-0.03,0.05,FRONT
-0.95,-0.06,0.05,FRONT
-0.95,-0.05,0.06,FRONT
-0.95,-0.05,0.05,FRONT
-0.94,-0.03,0.05,FRONT
-0.93,-0.04,0.07,FRONT
-0.94,-0.06,0.04,FRONT
-0.92,-0.07,0.03,FRONT
-0.91,-0.03,0.06,FRONT
-0.94,-0.01,0.08,FRONT
-0.93,-0.03,0.05,FRONT
-0.96,-0.07,0.04,FRONT
-0.96,-0.03,0.06,FRONT
-0.93,-0.05,0.06,FRONT
-0.94,-0.02,0.07,FRONT
-0.96,-0.04,0.03,FRONT
-0.98,-0.05,0.06,FRONT
-0.95,-0.06,0.04,FRONT
-0.94,-0.05,0.05,FRONT
-0.95,-0.05,0.05,FRONT
-0.94,-0.04,0.06,FRONT
-0.93,-0.04,0.04,FRONT
-0.93,-0.03,0.07,FRONT
-0.92,-0.01,0.06,FRONT
-0.92,-0.05,0.06,FRONT
-0.9,-0.07,0.04,FRONT
-0.99,-0.01,0.05,FRONT
-0.94,-0.05,0.04,FRONT
-0.92,-0.04,0.05,FRONT
-0.95,-0.03,0.05,FRONT
-0.97,-0.05,0.05,FRONT
-0.95,-0.03,0.05,FRONT
-0.93,-0.03,0.05,FRONT
-0.95,-0.06,0.05,FRONT
-0.94,0,0.08,FRONT
-0.95,-0.02,0.06,FRONT
-0.93,-0.01,0.07,FRONT
-0.95,-0.05,0.05,FRONT
-0.96,-0.03,0.04,FRONT
-0.95,-0.05,0.05,FRONT
-0.94,-0.03,0.06,FRONT
-0.94,-0.04,0.05,FRONT
-0.95,-0.03,0.04,FRONT
0.11,0.97,0.07,RIGHT
0.12,0.98,0.05,RIGHT
0.14,0.98,0.05,RIGHT
0.12,0.94,0.05,RIGHT
0.12,0.96,0.06,RIGHT
0.13,0.96,0.05,RIGHT
0.15,0.98,0.05,RIGHT
0.14,0.98,0.05,RIGHT
0.13,0.98,0.06,RIGHT
0.13,0.94,0.06,RIGHT
0.11,0.96,0.07,RIGHT
0.13,0.95,0.05,RIGHT
0.15,0.97,0.05,RIGHT
0.13,0.98,0.06,RIGHT
0.14,0.98,0.05,RIGHT
0.14,0.96,0.05,RIGHT
0.16,0.99,0.05,RIGHT
0.16,0.96,0.04,RIGHT
0.12,0.97,0.06,RIGHT
